Brand,Device,CC Count,NRPN Count,PC Count,Total Parameters,MIDI Thru,MIDI Clock,Phantom Power
Line 6,Powercab Plus,28,0,0,28,No,No,None
Line 6,Helix Floor,39,0,0,39,Yes,Yes,None
Line 6,HX Stomp XL,34,0,0,34,Yes,Yes,None
Line 6,HX Effects,28,0,0,28,No,No,None
Line 6,DL4 MKII,23,0,0,23,Yes,Yes,None
Line 6,Powercab 212 Plus,114,0,0,114,No,No,None
Line 6,M9 v2.0 Stompbox Modeler,31,0,0,31,No,No,None
Line 6,Pocket POD,108,0,0,108,No,No,None
MFB,synth_ii,34,0,0,34,No,No,None
MFB,tanzbar_1,63,0,0,63,No,No,None
MFB,Tanzbar Lite,25,0,0,25,No,No,None
MFB,tanzmaus,33,0,0,33,No,No,None
mlc,ls10/6,26,0,0,26,No,No,None
mlc,ls12/2,14,0,0,14,No,No,None
make_noise,0-coast,17,0,0,17,No,No,None
Meeblip,Geode,22,0,0,22,No,No,None
Meeblip,Triode,28,0,0,28,No,No,None
Melbourne Instruments,Nina,39,0,0,39,No,No,None
Meris,LVX,106,0,0,106,No,No,None
Meris,Mercury X,127,0,0,127,No,No,None
Meris,Ottobit JR,22,0,0,22,No,No,None
Meris,Polymoon,25,0,0,25,No,No,None
Meris,Enzo,25,0,0,25,No,No,None
Meris,Hedra,27,0,0,27,No,No,None
Meris,Mercury 7,19,0,0,19,No,No,None
Meris,enzox,71,0,0,71,Yes,Yes,unknown
mesa_boogie,jp2c,11,0,0,11,No,No,None
Modal Electronics,1,166,0,0,166,No,No,None
Modal Electronics,2,166,0,0,166,No,No,None
Modal Electronics,8,80,0,0,80,No,No,None
Modal Electronics,ARGON 8M,117,0,0,117,No,No,None
Modal Electronics,cobalt5s,100,0,0,100,No,No,None
Modal Electronics,CRAFTsynth 2.0,107,0,0,107,No,No,None
Modal Electronics,craft,45,0,0,45,No,No,None
Modal Electronics,skulpt,95,0,0,95,No,No,None
Modal Electronics,002R,166,0,0,166,No,No,None
Modal Electronics,ARGON 8X,117,0,0,117,No,No,None
Modal Electronics,SKULPTsynthesiser,114,0,0,114,No,No,None
